
[2026-03-21T17:13:35.328Z] Limit Request: 15 Mbps, View URL: 
[2026-03-21T17:39:29.153Z] Limit Request: 15 Mbps, View URL: https://www.google.com/

[2026-03-21T17:39:29.321Z] Limit Request: 15 Mbps, View URL: https://www.google.com/

[2026-03-21T17:39:56.539Z] Limit Request: 15 Mbps, View URL: https://www.google.com/search?q=steam&sca_esv=5f6f27e4ea4b0e70&source=hp&ei=0Ne-aeq7BoqO-d8P4em40A4&iflsig=AFdpzrgAAAAAab7l4LK4zJUXP15pekcUHRqjcc7SBA12&ved=0ahUKEwjq46zExLGTAxUKR_4FHeE0DuoQ4dUDCA4&uact=5&oq=steam&gs_lp=Egdnd3Mtd2l6IgVzdGVhbTILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgsQABiABBixAxiDATILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgsQABiABBixAxiDATILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgUQABiABDIIEAAYgAQYsQNI9wpQHljRCHABeACQAQCYAXegAaUEqgEDMS40uAEDyAEA-AEBmAIGoALBBKgCCsICChAuGAMY6gIYjwHCAgoQABgDGOoCGI8BwgIIEC4YgAQYsQPCAg4QABiABBixAxiDARiKBcICDhAuGIAEGLEDGNEDGMcBmAMH8QU5LIKOQjR4FZIHAzEuNaAH2yWyBwMwLjW4B7oEwgcFMC40LjLIBxKACAA&sclient=gws-wiz

[2026-03-21T17:39:56.884Z] Limit Request: 15 Mbps, View URL: https://www.google.com/search?q=steam&sca_esv=5f6f27e4ea4b0e70&source=hp&ei=0Ne-aeq7BoqO-d8P4em40A4&iflsig=AFdpzrgAAAAAab7l4LK4zJUXP15pekcUHRqjcc7SBA12&ved=0ahUKEwjq46zExLGTAxUKR_4FHeE0DuoQ4dUDCA4&uact=5&oq=steam&gs_lp=Egdnd3Mtd2l6IgVzdGVhbTILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgsQABiABBixAxiDATILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgsQABiABBixAxiDATILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgUQABiABDIIEAAYgAQYsQNI9wpQHljRCHABeACQAQCYAXegAaUEqgEDMS40uAEDyAEA-AEBmAIGoALBBKgCCsICChAuGAMY6gIYjwHCAgoQABgDGOoCGI8BwgIIEC4YgAQYsQPCAg4QABiABBixAxiDARiKBcICDhAuGIAEGLEDGNEDGMcBmAMH8QU5LIKOQjR4FZIHAzEuNaAH2yWyBwMwLjW4B7oEwgcFMC40LjLIBxKACAA&sclient=gws-wiz

[2026-03-21T17:39:57.185Z] Limit Request: 15 Mbps, View URL: https://www.google.com/search?q=steam&sca_esv=5f6f27e4ea4b0e70&source=hp&ei=0Ne-aeq7BoqO-d8P4em40A4&iflsig=AFdpzrgAAAAAab7l4LK4zJUXP15pekcUHRqjcc7SBA12&ved=0ahUKEwjq46zExLGTAxUKR_4FHeE0DuoQ4dUDCA4&uact=5&oq=steam&gs_lp=Egdnd3Mtd2l6IgVzdGVhbTILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgsQABiABBixAxiDATILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgsQABiABBixAxiDATILEAAYgAQYsQMYgwEyCxAAGIAEGLEDGIMBMgUQABiABDIIEAAYgAQYsQNI9wpQHljRCHABeACQAQCYAXegAaUEqgEDMS40uAEDyAEA-AEBmAIGoALBBKgCCsICChAuGAMY6gIYjwHCAgoQABgDGOoCGI8BwgIIEC4YgAQYsQPCAg4QABiABBixAxiDARiKBcICDhAuGIAEGLEDGNEDGMcBmAMH8QU5LIKOQjR4FZIHAzEuNaAH2yWyBwMwLjW4B7oEwgcFMC40LjLIBxKACAA&sclient=gws-wiz

[2026-03-21T17:39:58.108Z] Limit Request: 15 Mbps, View URL: https://store.steampowered.com/?l=turkish

[2026-03-21T17:39:59.304Z] Limit Request: 15 Mbps, View URL: https://store.steampowered.com/?l=turkish

[2026-03-21T17:40:00.975Z] Limit Request: 15 Mbps, View URL: https://store.steampowered.com/about/?snr=1_4_seasonalsale__global-header

[2026-03-21T17:41:23.395Z] Limit Request: 15 Mbps, View URL: 

[2026-03-21T17:41:23.692Z] Limit Request: 15 Mbps, View URL: https://www.google.com/search?q=speedtest

[2026-03-21T17:41:23.975Z] Limit Request: 15 Mbps, View URL: https://www.google.com/search?q=speedtest

[2026-03-21T17:41:24.227Z] Limit Request: 15 Mbps, View URL: https://www.google.com/search?q=speedtest

[2026-03-21T17:41:28.132Z] Limit Request: 15 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:28.168Z] Limit Request: 15 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:28.447Z] Limit Request: 15 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.053Z] Limit Request: 25 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.219Z] Limit Request: 30 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.237Z] Limit Request: 35 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.256Z] Limit Request: 40 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.274Z] Limit Request: 45 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.284Z] Limit Request: 50 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.304Z] Limit Request: 60 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.338Z] Limit Request: 70 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:36.342Z] Limit Request: 75 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:38.372Z] Limit Request: 0 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:38.707Z] Limit Request: 75 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T17:41:45.841Z] Limit Request: 0 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T18:02:41.562Z] Limit Request: 75 Mbps, View URL: about:blank

[2026-03-21T18:02:48.295Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:02:50.126Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:02:50.352Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:02:50.475Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:02:54.390Z] Limit Request: 1 Mbps, View URL: https://www.google.com/search?q=speedtest

[2026-03-21T18:02:55.185Z] Limit Request: 1 Mbps, View URL: https://www.google.com/search?q=speedtest

[2026-03-21T18:02:56.949Z] Limit Request: 1 Mbps, View URL: https://www.google.com/search?q=speedtest

[2026-03-21T18:02:57.213Z] Limit Request: 1 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T18:02:58.286Z] Limit Request: 1 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T18:03:04.404Z] Limit Request: 1 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T18:03:08.164Z] Limit Request: 0 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T18:03:11.397Z] Limit Request: 1 Mbps, View URL: https://www.speedtest.net/

[2026-03-21T18:03:14.197Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:11:01.540Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:11:01.876Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:11:01.975Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:11:02.093Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:11:06.339Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:11:06.349Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:11:06.350Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:12:32.729Z] Limit Request: 0 Mbps, View URL: about:blank

[2026-03-21T18:12:33.297Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:12:56.157Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:12:56.226Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:12:56.331Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:07.080Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:14:07.407Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:07.505Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:07.636Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:10.733Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:14:10.743Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:14:10.744Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:14:15.864Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:14:16.105Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:16.199Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:16.340Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:19.383Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:14:19.394Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:14:19.395Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:14:32.788Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:14:32.792Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:14:47.737Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:47.810Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:14:47.941Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:15:28.327Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:15:28.340Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:15:28.346Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:18:00.874Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:18:00.949Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:18:01.062Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:19:27.480Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:19:27.489Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:19:27.490Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:19:38.098Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:19:38.168Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:19:38.287Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:19:39.338Z] Limit Request: 1 Mbps, View URL: https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.com%2F&dsh=S153860703%3A1774117178384739&ec=futura_exp_og_so_72776762_e&hl=tr&passive=true&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=ASfE1-pJxDlHCQVke1mtbuXN0ZeFotMVT0UR7GfKQcw0KZL9nXBy6LqW55BP3YZlM7JTY6Tgp4Ew9w

[2026-03-21T18:19:40.524Z] Limit Request: 1 Mbps, View URL: https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.com%2F&dsh=S153860703%3A1774117178384739&ec=futura_exp_og_so_72776762_e&hl=tr&passive=true&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=ASfE1-pJxDlHCQVke1mtbuXN0ZeFotMVT0UR7GfKQcw0KZL9nXBy6LqW55BP3YZlM7JTY6Tgp4Ew9w

[2026-03-21T18:19:40.603Z] Limit Request: 1 Mbps, View URL: https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.com%2F&dsh=S153860703%3A1774117178384739&ec=futura_exp_og_so_72776762_e&hl=tr&passive=true&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=ASfE1-pJxDlHCQVke1mtbuXN0ZeFotMVT0UR7GfKQcw0KZL9nXBy6LqW55BP3YZlM7JTY6Tgp4Ew9w

[2026-03-21T18:19:42.103Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:19:42.144Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:19:42.240Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:19:56.947Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/aura-browser/

[2026-03-21T18:19:56.974Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/aura-browser/

[2026-03-21T18:19:56.974Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/aura-browser/

[2026-03-21T18:20:12.532Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/

[2026-03-21T18:20:12.576Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/

[2026-03-21T18:20:12.577Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/

[2026-03-21T18:20:16.741Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/

[2026-03-21T18:20:16.779Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/

[2026-03-21T18:20:16.779Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/

[2026-03-21T18:21:01.787Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:21:01.792Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:21:01.793Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:21:22.846Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:22:18.310Z] Limit Request: 1 Mbps, View URL: about:blank

[2026-03-21T18:22:18.310Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:22:34.663Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:22:34.754Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:22:34.880Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:24:21.532Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/aura-browser/

[2026-03-21T18:24:21.576Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/aura-browser/

[2026-03-21T18:24:21.577Z] Limit Request: 1 Mbps, View URL: https://bseester.github.io/aura-browser/

[2026-03-21T18:24:24.892Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:24:25.811Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:25:43.611Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:25:43.612Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:25:43.612Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:25:43.614Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:25:43.614Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:25:43.614Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:25:55.316Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:25:55.317Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:25:55.317Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:26:04.892Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:26:04.892Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:26:04.892Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:35:18.927Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:35:19.132Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:35:23.546Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:35:23.852Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:36:00.321Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:40:48.110Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:40:48.439Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:40:48.605Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:40:48.624Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:40:50.133Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:40:50.211Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:40:50.213Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:41:07.528Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:42:26.909Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:42:27.001Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:42:27.124Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:44:06.489Z] Limit Request: 1 Mbps, View URL: https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.com%2F&dsh=S219847164%3A1774118645068578&ec=futura_exp_og_so_72776762_e&hl=tr&passive=true&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=ASfE1-r_boAOBRgVJTal8F9wce9xEUfNyU1Eu-TDKUu8gxvs6v6hWlFZeM0d28C8ZJr1LTQgqVdV

[2026-03-21T18:44:07.729Z] Limit Request: 1 Mbps, View URL: https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.com%2F&dsh=S219847164%3A1774118645068578&ec=futura_exp_og_so_72776762_e&hl=tr&passive=true&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=ASfE1-r_boAOBRgVJTal8F9wce9xEUfNyU1Eu-TDKUu8gxvs6v6hWlFZeM0d28C8ZJr1LTQgqVdV

[2026-03-21T18:44:08.466Z] Limit Request: 1 Mbps, View URL: https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.com%2F&dsh=S219847164%3A1774118645068578&ec=futura_exp_og_so_72776762_e&hl=tr&passive=true&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=ASfE1-r_boAOBRgVJTal8F9wce9xEUfNyU1Eu-TDKUu8gxvs6v6hWlFZeM0d28C8ZJr1LTQgqVdV

[2026-03-21T18:44:09.035Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:44:09.092Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:44:09.937Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:44:51.100Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:44:52.022Z] Limit Request: 1 Mbps, View URL: 

[2026-03-21T18:44:54.631Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:44:54.867Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

[2026-03-21T18:44:56.717Z] Limit Request: 1 Mbps, View URL: https://www.google.com/

